session_id,nonce,buyer,seller,app_id,scenario,auth_txid,term_txid,final_state,final_round,auth_latency_s,term_latency_s,e2e_latency_s,auth_outer_txns,term_outer_txns,term_inner_txns,auth_fee_microalgo,term_fee_microalgo,session_total_fee_microalgo,invariant_violations,spent_marker_present
128,11179812756790102430,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,3PWGAGMJCQDIPQKOWESYDF7GJZNNPRVPEDSM3UAJ2L4BB2ZNIJLA,5FFYAQBZVAFSNTEJ5F4KA7YR7QQY7BQRF2VOI7QHNBAUXRXESZBQ,RELEASED,66899201,5.668,5.004,11.155,3,10,2,18000,11000,29000,0,True
129,2536608217087499703,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,YEENUIEKXS2YCDXWLV3F3UCO54AEA5J2H55GP3HTDS4IU7DB3GDQ,VDL7PCKUVTENOSXO4N5DPU24JPY3CEIOK27KBXBGQ3YDTGWG2IXQ,RELEASED,66899205,4.667,5.054,10.138,3,10,2,18000,11000,29000,0,True
130,8691308251703913106,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,3XOL4OISLAAFEQTDJNXUDJYP75MPUKA5YC2GXH5OF7FYIOSRZEFQ,VCA2T2HDLIXSZ5HSKXKHGLK6ZIYOU5WTABW3CZU5XXD7SF3EGZGA,RELEASED,66899209,4.668,4.921,10.032,3,10,2,18000,11000,29000,0,True
131,17716076163925134134,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,25MZL6ISKC6A4K54YRVWMD7SWWQN7BKW5CYROWOF2BXDT3FAKO3Q,OWZLNMGW7YIN33NT3BXWN3JRH3R62YKZ3T5AXKHF4RGDW23GGWLQ,RELEASED,66899213,4.616,4.934,10.033,3,10,2,18000,11000,29000,0,True
132,4772662165414115937,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,DLTFIL5S6XNKU7276UPA2R4S7UNTVI6O62OEJI2A33B7EIFA25XA,WDILNILDR4HSRJG5FMETWKANZS7QUCRMGU72RRS5T6BY5OSYNOOA,RELEASED,66899217,4.708,5.052,10.171,3,10,2,18000,11000,29000,0,True
133,12535135275410887186,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,GGYR6MIKZZ2O2K3BG2GCQSJMMPVX6A6VNAQLGXSR7LJNE3MOW34A,PD5UF4I4UKOXDY6PI6MFYNYYDCQJC2JABSSR2XDANSH352JUOK5Q,RELEASED,66899221,4.789,4.949,10.196,3,10,2,18000,11000,29000,0,True
134,14437686440591668269,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,5LK2KLV4MY7DWRNNAHA7N4CZE4ZU5TXJJPNWRIFKNYBGWPHTXESA,IOBYIAMXJ22CFERGQCYAH5VAIMKM7SFPS7OQHALZDAP5IDAPUSAQ,RELEASED,66899225,4.675,4.846,10.045,3,10,2,18000,11000,29000,0,True
135,3374733947331399813,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,X2HY2ASCJSD5DETDLR45XHUCL7RPIWDXWBFR2SGM7J2YZ7PI5MDA,SI356BGERJBWLCMPUGQIQTM2HGICCX7PDJLQEXZXSN3XSBKHLQVQ,RELEASED,66899229,4.731,4.88,10.12,3,10,2,18000,11000,29000,0,True
136,15931640229041889071,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,7GGSCUCKHNM2VQGDGBRMZPLNBV77TD5QGCJPB6NJS3XDH3EUSVEQ,BPY3JSG3PEGIIQGYMEHVTQGE7HMZLAWMYXQNNEZ3U6EGZ5KV6HQQ,RELEASED,66899233,4.712,4.906,10.087,3,10,2,18000,11000,29000,0,True
137,1959569525282588096,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,770852814,Normal Settle,C4M2DZIJBKFTSPHMZKREAAGD224LAE6OVD7CBFN36FUA2BZERD2Q,UE5J2O6334OT23DSMUT6FXRJE7MO7BV5X5GUSVIKOD53PASLZOGQ,RELEASED,66899237,4.776,4.93,10.165,3,10,2,18000,11000,29000,0,True
