attack_id,attack_class,final_app_id,session_id,nonce,expected_rejection,actual_result,revert_reason
1,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
2,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
3,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
4,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
5,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
6,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
7,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
8,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
9,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
10,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
11,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
12,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
13,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
14,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
15,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
16,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
17,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
18,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
19,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
20,Replay Auth (Released),772156663,9,301898453115687320,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
21,Replay Auth (Refunded),772156663,10,8792790960710313763,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
22,Replay Auth (Refunded),772156663,10,8792790960710313763,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
23,Replay Auth (Refunded),772156663,10,8792790960710313763,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
24,Replay Auth (Refunded),772156663,10,8792790960710313763,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
25,Replay Auth (Refunded),772156663,10,8792790960710313763,Assert SPENT marker,REVERTED,"assert failed pc=670. Details: app=772156663, pc=670, opcodes=load 4; !; assert"
