session_id,nonce,buyer,seller,app_id,scenario,auth_txid,term_txid,final_state,final_round,auth_latency_s,term_latency_s,e2e_latency_s,auth_outer_txns,term_outer_txns,term_inner_txns,auth_fee_microalgo,term_fee_microalgo,session_total_fee_microalgo,invariant_violations,spent_marker_present
11,16564100373930702021,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,ODHDLJDL353UNNOO2OJ5URR6A73HUSB74SZG5QRUD4GIZH547E2A,SMXPLLQCNPXFJR6E3NPULL4U3J7R4B3PQ7D3XLHQKY2Y53S73IMA,RELEASED,67579499,6.752,4.888,12.125,6,16,2,6000,18000,24000,0,True
12,11411763046072892505,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,NQOQPGTKSE3W4KKGTCWV2O75WRKJ5DF665H7MV6OLQKARU7I6IYQ,LDFEWDPDFU6I4B2WJERYWAS4ACWZG7MFRCSH4MMQ6FCP7SKFNSQQ,RELEASED,67579503,4.469,4.955,9.904,6,16,2,6000,18000,24000,0,True
13,12947987408675772913,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,TLMNGTP7KKVIHY4AJKDJ2JGPGK5ZDG2H3WCVYMIXAP3PHK57WULQ,PG4N3CQXSPMRYBOHN6H4D4KADG6FBBTGUHSRJFIBBLMWQPA3UULA,RELEASED,67579507,4.483,4.963,9.891,6,16,2,6000,18000,24000,0,True
14,3921299721417175758,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,5LQN3ALHU33NOH2KA75PWVZGXXM7O7UPDPF3WCK4RXPH3JXJSPTA,ZQAHGS2EI6L3ALWPWD5GNLKENVOQ6NSRCLEE4WS6KKC6YUGYHALQ,RELEASED,67579511,4.378,4.872,9.78,6,16,2,6000,18000,24000,0,True
15,39747273914374761,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,SMJSCYMWUGR7ITUNCXFCRCGVDLDMIX4QS2AOEPUFPGUJ334FMWWA,72NGYYCW4L24KK3WM2W2RIS5M7KBJOSJLHZSDAXVJJQQE4FTWMGA,RELEASED,67579515,4.534,4.923,9.942,6,16,2,6000,18000,24000,0,True
16,1357199680598981844,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,GKFVFTR2NCLYSFBLMOOWNSRORUYNEC6ZFYDROVNP4TXSURCJX32Q,NE37V7OI2IUQDHGOQXOVBCTRTRK6WZIEPNSIHGQ2XQAYUOPHRCBQ,RELEASED,67579519,4.512,4.864,9.857,6,16,2,6000,18000,24000,0,True
17,12657231815107601641,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,24K5VDZNK7ZN23HKMGVHLWQFBKMOYSJ3WBUB3ADIZ3WNE46CUYJQ,GVDIWMS2KLJFGXZXDTA3RODLL6EY46IF2LQJKRFULTTQCUVP2N2A,RELEASED,67579523,4.424,4.96,9.832,6,16,2,6000,18000,24000,0,True
18,2063373451998902416,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,COJNP5MPYN5QOC7EIC2V2W3LIYETHFDRIO2AU6CGIBXQWELJEXUQ,AKGYT4VAH4R5SYV7RQW6E4O6ZL2VJ2P4IGOQ6XT6FHXY4XIW75CQ,RELEASED,67579527,4.525,4.938,9.896,6,16,2,6000,18000,24000,0,True
19,8467062580629851667,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,XYT35FS6ZAYESTDSX4FNOCXL6E6MIPMHECWFSVGSDXNN3D547B4Q,N7ZA7NIJPEJR7Q5X66HTJWEKBQR5I3WOGHJFAE3HTK3RRR5XKEKA,RELEASED,67579531,4.576,4.926,9.954,6,16,2,6000,18000,24000,0,True
20,8982641726210602394,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,W75SYX3EE7JC34PC5MMAYG3EVHO3IDEBGQQRFRIEHNLIZNLRQTCB5TUYZY,772170811,Normal Settle,3C54JK6ETHXHZUUFMOC63U5AJTRTGIEJCIBRF6RQZHSRWOCKBMAQ,3NIH6KNXFAJFFAF5LLN6Y5BT7AHHOGGKE2SSH37IRGVUW76J6AGQ,RELEASED,67579535,4.545,4.9,9.948,6,16,2,6000,18000,24000,0,True
