session_id,refund_tx_id,application_id,confirmed_round,usdc_receipt_status,usdc_sender,usdc_receiver,usdc_asset_id,usdc_amount,bounty_receipt_status,bounty_sender,bounty_receiver,bounty_amount,box_state,bounty_paid,evidence_status,error_message
79,INR3YENP2YQHKERC3GBJ4MO7QHZSEBRCXMRN4XUDUJH2QFUHIIVQ,769248116,66307546,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
80,O2SBVFWYDAZT3XLSHGHMIV7KZY4UNYRKE37JFHIYL7WSZIZBMQJA,769248116,66307551,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
81,PNDSRIKHSCJSYJ46LTLI2T5S7DIONRHEECRX643PEXS3Q7CQZEOA,769248116,66307556,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
82,AQY2SWXLNPDOFTXATKAQA5IYJWL7R3IUA45YIRYAIY7KXXLZDHKQ,769248116,66307561,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
83,OJJKDWPM3E5Q5ENYBEJXSTX2J3MJBMCWKED5652LAL5Y57VHXWVQ,769248116,66307566,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
84,UUYTAH7NWMIVHU5N6YETN4THFS7H6CM7FJAARLDUHO7CTDI3LGHA,769248116,66307571,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
85,PL7EFZX3TTDCX5FULGFX63DQME64NIZ7EV6L3IF2GUAOPQQCO4BA,769248116,66307576,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
86,QW6VE2S5L46LBXNDGI55ZURJNK6RAFDQCRZPYOCVSIILF3SUACAQ,769248116,66307581,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
87,Y6S6ZZOIIGM5H3FKVI4THLAWTHFIGSS5QT6QXKKZJWCTUFZEVWWA,769248116,66307586,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
88,5547NUXRDRDTUKOK7X4OVEPZGFJFJBG6XNNQNOXNT6JBQU32QIEQ,769248116,66307591,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,10458941,500000,VERIFIED,HFWRIPLCDTD5NVTZ27KBFUKVGL7GTNC7NCUMUNYUFEMFMFM6BY2IRGRBCA,UP3QMOZVEGWBBRKVBRASMUF7V55FG2KXZFCMZPB4KICPDKEUENT6KKB5SE,500000,3,1,VERIFIED,
