session_id,auth_time_s,attestation_time_s,terminal_time_s,total_rtt_s
1,6.867,0.442,4.65,11.959
2,4.151,0.474,4.707,9.332
3,4.72,0.453,5.253,10.426
4,4.855,0.483,4.727,10.065
5,4.214,0.515,4.634,9.363
6,4.178,0.457,4.712,9.347
7,4.731,0.462,4.849,10.042
8,4.276,0.494,4.751,9.521
9,4.361,0.515,5.138,10.014
10,4.701,0.52,4.771,9.992
11,4.255,0.438,4.738,9.431
12,4.822,0.472,4.832,10.126
13,4.718,0.492,5.2,10.41
14,4.181,0.462,4.672,9.315
15,4.274,0.467,4.652,9.393
16,4.774,0.47,4.797,10.041
17,4.64,0.512,5.145,10.297
18,4.24,0.484,4.785,9.509
19,4.173,0.465,4.753,9.391
20,4.779,0.473,4.78,10.032
21,4.669,0.448,4.769,9.886
22,4.791,0.466,4.711,9.968
23,4.65,0.507,5.327,10.484
24,4.631,0.493,4.776,9.9
25,4.273,0.516,4.685,9.474
26,4.281,0.487,4.842,9.61
27,4.367,0.477,4.698,9.542
28,4.243,0.448,4.775,9.466
29,4.139,0.485,4.629,9.253
30,3.638,0.455,4.746,8.839
31,4.324,0.517,4.817,9.658
32,4.322,0.522,5.298,10.142
33,4.301,0.445,4.84,9.586
34,4.209,0.53,5.341,10.08
35,4.225,0.496,4.653,9.374
36,4.133,0.476,4.717,9.326
37,4.239,0.525,4.69,9.454
38,4.758,0.457,4.73,9.945
39,4.874,0.472,5.341,10.687
40,4.277,0.5,5.182,9.959
