session_id,tx_id,tx_source,lookup_status,application_id,method,confirmed_round,group_id,sender,evidence_note
54,ALUNUUN25IU7MU7UM7AB2PR6QAP7XFUTYEF5CMD2GKQFOZZAWWIA,transactions.csv,VERIFIED,769248116,93dfbeb7,66304988,H/nhuxbq/wEqJWiei4xPS+rP5my+ECNxBNVWn0MqF90=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
55,3GVZBZDQJI7QQ7MNF7S667FKALIW65ONOKZXZBV4WHRNR6UW22OA,transactions.csv,VERIFIED,769248116,93dfbeb7,66304992,pwqjYB2bxiyaTjxEBKjsVb1laibcGSWrttEHh9tfDLY=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
56,7EUDTDI7ZXXYTFNWJWZTXTIS34HXW7BWLTU37KQALU6V7ZM6XIFA,transactions.csv,VERIFIED,769248116,93dfbeb7,66304996,Ptwfp42DAscZw1MVerPNZ8AyyBuvjAnm4wIm2oj0dEI=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
57,5CAU74BYG3LA7O7WSASOBVXHBJZHA7WVWB7ACJBW52LXN2XEBKLA,transactions.csv,VERIFIED,769248116,93dfbeb7,66305000,dJF0/Ws9LgS6kqZeRmmNfx6c6gHMk4gPQgMdUpCuOQk=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
58,2XA2E4ZOXJWTVQ337DGR55T23NW5QYVOAVRG5RCB74W4ZAU6BCOA,transactions.csv,VERIFIED,769248116,93dfbeb7,66305004,WmYMzGN1wd88pr2dGP1YFHuw5tntNKVuj9QA5bYoMXc=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
59,UKJINAXUAAPNLBLNJP7X744BSVNEIAWUTAEK74ZSRDHLRWON7VIA,transactions.csv,VERIFIED,769248116,93dfbeb7,66305009,DLBrwF4eVc/BNRA1DM+tuEr11c992PtIj662YBkPvZc=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
60,POUS2FQJXJ2HVWN6B4DAPHEHJBCM67UNNN4EWTNREAKR647GNNKA,transactions.csv,VERIFIED,769248116,93dfbeb7,66305013,jtIpI8xKpIMXp2R1vwvRPI5jHFsv/DM2K+5IVdasYoQ=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
61,VEC4CPGZEFLPP46FSK4DP5JP27EVRRJDHRLPHPH443UEWBW2XQYA,transactions.csv,VERIFIED,769248116,93dfbeb7,66305017,cnGApOOHtFQN/pcDxu3cdvwYeAhg/I8L7WMwA+RptpU=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
62,4IXALB24KN4Y54MK22EBCAGSA4C5GYN3BM7HFDMLSV64INDY53NQ,transactions.csv,VERIFIED,769248116,93dfbeb7,66305021,VTEgk7PVfpFmOzxJN6/sodMhXeC4uORVoBoZYUbmqZI=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
63,BJD7SYRJC5AEDHTEQ7JUYKWUHJCEZCGOJCYXP6CUTEKBX3AHU37A,transactions.csv,VERIFIED,769248116,93dfbeb7,66305025,onv+6tG1zByHp3Y3tX7VQ2R6Rgj6OYXwn7+11NNVFjk=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
64,HSDDIJ3M7V5KHSY4Y4WKQSA4F2TG65LPCTLSBMWXWMTTLSNFIV7A,transactions.csv,VERIFIED,769248116,93dfbeb7,66305030,5zcIaS0+C3IiCapAQrrVTLuPZiltXB1g0vsuQ0yM5ws=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
65,ICTVGEP77UNRI2B6Q3UIQS265OZ4O5PBOQMREG3QSHUEAX5WKHCA,transactions.csv,VERIFIED,769248116,93dfbeb7,66305034,lcV75QvBWRTwR6ZyibWJrGZmNxY49KLt/izbUAehjvU=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
66,TSOL5BPTCTGEEGUDCQMCYGPY4LRCXSY2IZHV6FSUVMCGEJCIAEIA,transactions.csv,VERIFIED,769248116,93dfbeb7,66305039,eZr4b4Lhp6NCXG7QbPjE4JtdoOisgzrvUQOLP4V2JdI=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
67,POAQNMO7NIUMPJ4F4VL2QO4K6SEHS2VDD4DP5UIOZZS4CEVCSLSQ,transactions.csv,VERIFIED,769248116,93dfbeb7,66305043,Me3CStkIDv8y5bHf6N7YlRDd+lAYKNarkTC2VWlE/40=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
68,6W5MHXFO5IYUKFYCLOLWCFFJ4773IL2VBCGUJYFOKCDAVZMAPYJQ,transactions.csv,VERIFIED,769248116,93dfbeb7,66305047,LVVDdzdHtEYE+qMGScx5obAa/sC1qGQn6PAQd3htZfw=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
69,HGYRHLJALD4ZW4DHB23URSH7X4PXU6BSWXHXWBWFDF2BZSOGO2NA,transactions.csv,VERIFIED,769248116,93dfbeb7,66305052,+1I3kp/KpIlF1PCNQGdbw1xtnDQK4baYKHUJpWCG2dc=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
70,RIUF64XIQ3QAFE5YV2NF2YQZMHO5PO3YDDOEMRREK43W2J2YMNLQ,transactions.csv,VERIFIED,769248116,93dfbeb7,66305056,fDoiwa64ek1tmhrwvpURm6dyi7Utn0zEmlPHmjJg2co=,42CIA4I5Z7VAX4SON5WN7HL7KLY6MUTZR7N27UHBEM3MY5LGLMZRLPTBPI,NA
