scenario,expected_outer,actual_outer,actual_inner,actual_group_fee_microalgo,min_required_fee
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Normal Settle,13,16,2,128000,18000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Attested Fail,10,13,2,74000,15000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
Timeout Refund,6,9,2,30000,11000
