session_id,network_fee_microalgo,bounty_transfer_microalgo,payment_transfer_micro_usdc,illustrative_network_fee_usd,status
54,21000,500000,500000,NA,PRICE_MISSING
55,21000,500000,500000,NA,PRICE_MISSING
56,21000,500000,500000,NA,PRICE_MISSING
57,21000,500000,500000,NA,PRICE_MISSING
58,21000,500000,500000,NA,PRICE_MISSING
59,21000,500000,500000,NA,PRICE_MISSING
60,21000,500000,500000,NA,PRICE_MISSING
61,21000,500000,500000,NA,PRICE_MISSING
62,21000,500000,500000,NA,PRICE_MISSING
63,21000,500000,500000,NA,PRICE_MISSING
64,21000,500000,500000,NA,PRICE_MISSING
65,21000,500000,500000,NA,PRICE_MISSING
66,21000,500000,500000,NA,PRICE_MISSING
67,21000,500000,500000,NA,PRICE_MISSING
68,21000,500000,500000,NA,PRICE_MISSING
69,21000,500000,500000,NA,PRICE_MISSING
70,21000,NA,NA,NA,PRICE_MISSING
71,21000,NA,NA,NA,PRICE_MISSING
19,NA,NA,NA,NA,PRICE_MISSING
20,NA,NA,NA,NA,PRICE_MISSING
