session_id,client_authorization_latency_ms,client_attestation_to_finality_ms,client_end_to_end_ms,status
54,6013.926,5413.218,12136.412,VALID_CLIENT_SIDE
55,4186.744,5371.810,10316.011,VALID_CLIENT_SIDE
56,4191.239,5424.561,10372.092,VALID_CLIENT_SIDE
57,4217.070,5411.264,10317.977,VALID_CLIENT_SIDE
58,4197.834,5412.544,10351.139,VALID_CLIENT_SIDE
59,4440.521,5407.682,10563.121,VALID_CLIENT_SIDE
60,4163.620,5376.575,10312.425,VALID_CLIENT_SIDE
61,4193.414,5431.883,10364.739,VALID_CLIENT_SIDE
62,4091.304,5404.096,10253.153,VALID_CLIENT_SIDE
63,4203.386,5432.029,10329.030,VALID_CLIENT_SIDE
64,4318.391,5371.444,10429.425,VALID_CLIENT_SIDE
65,4192.265,5392.253,10329.051,VALID_CLIENT_SIDE
66,5203.050,5414.085,11340.858,VALID_CLIENT_SIDE
67,4098.850,5401.487,10277.004,VALID_CLIENT_SIDE
68,4183.754,5381.747,10335.740,VALID_CLIENT_SIDE
69,5247.514,5459.786,11481.253,VALID_CLIENT_SIDE
70,4240.226,NA,23884.503,VALID_CLIENT_SIDE
71,5871.089,NA,22873.345,VALID_CLIENT_SIDE
19,NA,NA,NA,NOT_VERIFIABLE_ON_CHAIN
20,NA,NA,NA,NOT_VERIFIABLE_ON_CHAIN
