session_id,baseline,request_timestamp,payment_authorized_timestamp,attestation_timestamp,app_call_submitted_timestamp,confirmed_round_timestamp,finality_timestamp,outcome,amount_pay,amount_bounty,network_fee,relayer_fee,tx_id,confirmed_round,error_message,invariant_status
54,T-REX,2026-08-14T13:45:15.920065Z,2026-08-14T13:45:22.642506Z,2026-08-14T13:45:22.643259Z,2026-08-14T13:45:16.628580Z,2026-08-14T13:45:22.642506Z,2026-08-14T13:45:28.056477Z,Released,500000,500000,21000,0,ALUNUUN25IU7MU7UM7AB2PR6QAP7XFUTYEF5CMD2GKQFOZZAWWIA,66304988,,Invariants hold
55,T-REX,2026-08-14T13:45:28.540290Z,2026-08-14T13:45:33.484491Z,2026-08-14T13:45:33.484491Z,2026-08-14T13:45:29.297747Z,2026-08-14T13:45:33.484491Z,2026-08-14T13:45:38.856301Z,Released,500000,500000,21000,0,3GVZBZDQJI7QQ7MNF7S667FKALIW65ONOKZXZBV4WHRNR6UW22OA,66304992,,Invariants hold
56,T-REX,2026-08-14T13:45:39.347734Z,2026-08-14T13:45:44.294264Z,2026-08-14T13:45:44.295265Z,2026-08-14T13:45:40.103025Z,2026-08-14T13:45:44.294264Z,2026-08-14T13:45:49.719826Z,Released,500000,500000,21000,0,7EUDTDI7ZXXYTFNWJWZTXTIS34HXW7BWLTU37KQALU6V7ZM6XIFA,66304996,,Invariants hold
57,T-REX,2026-08-14T13:45:50.230170Z,2026-08-14T13:45:55.136883Z,2026-08-14T13:45:55.136883Z,2026-08-14T13:45:50.919813Z,2026-08-14T13:45:55.136883Z,2026-08-14T13:46:00.548147Z,Released,500000,500000,21000,0,5CAU74BYG3LA7O7WSASOBVXHBJZHA7WVWB7ACJBW52LXN2XEBKLA,66305000,,Invariants hold
58,T-REX,2026-08-14T13:46:01.017753Z,2026-08-14T13:46:05.956348Z,2026-08-14T13:46:05.956348Z,2026-08-14T13:46:01.758514Z,2026-08-14T13:46:05.956348Z,2026-08-14T13:46:11.368892Z,Released,500000,500000,21000,0,2XA2E4ZOXJWTVQ337DGR55T23NW5QYVOAVRG5RCB74W4ZAU6BCOA,66305004,,Invariants hold
59,T-REX,2026-08-14T13:46:14.359221Z,2026-08-14T13:46:19.513645Z,2026-08-14T13:46:19.514660Z,2026-08-14T13:46:15.073124Z,2026-08-14T13:46:19.513645Z,2026-08-14T13:46:24.922342Z,Released,500000,500000,21000,0,UKJINAXUAAPNLBLNJP7X744BSVNEIAWUTAEK74ZSRDHLRWON7VIA,66305009,,Invariants hold
60,T-REX,2026-08-14T13:46:25.418769Z,2026-08-14T13:46:30.354619Z,2026-08-14T13:46:30.354619Z,2026-08-14T13:46:26.190999Z,2026-08-14T13:46:30.354619Z,2026-08-14T13:46:35.731194Z,Released,500000,500000,21000,0,POUS2FQJXJ2HVWN6B4DAPHEHJBCM67UNNN4EWTNREAKR647GNNKA,66305013,,Invariants hold
61,T-REX,2026-08-14T13:46:36.229434Z,2026-08-14T13:46:41.161284Z,2026-08-14T13:46:41.162290Z,2026-08-14T13:46:36.967870Z,2026-08-14T13:46:41.161284Z,2026-08-14T13:46:46.594173Z,Released,500000,500000,21000,0,VEC4CPGZEFLPP46FSK4DP5JP27EVRRJDHRLPHPH443UEWBW2XQYA,66305017,,Invariants hold
62,T-REX,2026-08-14T13:46:47.083038Z,2026-08-14T13:46:51.931545Z,2026-08-14T13:46:51.932095Z,2026-08-14T13:46:47.840241Z,2026-08-14T13:46:51.931545Z,2026-08-14T13:46:57.336191Z,Released,500000,500000,21000,0,4IXALB24KN4Y54MK22EBCAGSA4C5GYN3BM7HFDMLSV64INDY53NQ,66305021,,Invariants hold
63,T-REX,2026-08-14T13:46:57.832388Z,2026-08-14T13:47:02.729389Z,2026-08-14T13:47:02.729389Z,2026-08-14T13:46:58.526003Z,2026-08-14T13:47:02.729389Z,2026-08-14T13:47:08.161418Z,Released,500000,500000,21000,0,BJD7SYRJC5AEDHTEQ7JUYKWUHJCEZCGOJCYXP6CUTEKBX3AHU37A,66305025,,Invariants hold
64,T-REX,2026-08-14T13:47:11.153280Z,2026-08-14T13:47:16.211261Z,2026-08-14T13:47:16.211261Z,2026-08-14T13:47:11.892870Z,2026-08-14T13:47:16.211261Z,2026-08-14T13:47:21.582705Z,Released,500000,500000,21000,0,HSDDIJ3M7V5KHSY4Y4WKQSA4F2TG65LPCTLSBMWXWMTTLSNFIV7A,66305030,,Invariants hold
65,T-REX,2026-08-14T13:47:22.064893Z,2026-08-14T13:47:27.001691Z,2026-08-14T13:47:27.001691Z,2026-08-14T13:47:22.809426Z,2026-08-14T13:47:27.001691Z,2026-08-14T13:47:32.393944Z,Released,500000,500000,21000,0,ICTVGEP77UNRI2B6Q3UIQS265OZ4O5PBOQMREG3QSHUEAX5WKHCA,66305034,,Invariants hold
66,T-REX,2026-08-14T13:47:34.572691Z,2026-08-14T13:47:40.498946Z,2026-08-14T13:47:40.499464Z,2026-08-14T13:47:35.295896Z,2026-08-14T13:47:40.498946Z,2026-08-14T13:47:45.913549Z,Released,500000,500000,21000,0,TSOL5BPTCTGEEGUDCQMCYGPY4LRCXSY2IZHV6FSUVMCGEJCIAEIA,66305039,,Invariants hold
67,T-REX,2026-08-14T13:47:46.411950Z,2026-08-14T13:47:51.286470Z,2026-08-14T13:47:51.287467Z,2026-08-14T13:47:47.187620Z,2026-08-14T13:47:51.286470Z,2026-08-14T13:47:56.688954Z,Released,500000,500000,21000,0,POAQNMO7NIUMPJ4F4VL2QO4K6SEHS2VDD4DP5UIOZZS4CEVCSLSQ,66305043,,Invariants hold
68,T-REX,2026-08-14T13:47:57.173102Z,2026-08-14T13:48:02.126584Z,2026-08-14T13:48:02.127095Z,2026-08-14T13:47:57.942830Z,2026-08-14T13:48:02.126584Z,2026-08-14T13:48:07.508842Z,Released,500000,500000,21000,0,6W5MHXFO5IYUKFYCLOLWCFFJ4773IL2VBCGUJYFOKCDAVZMAPYJQ,66305047,,Invariants hold
69,T-REX,2026-08-14T13:48:09.575422Z,2026-08-14T13:48:15.595888Z,2026-08-14T13:48:15.596889Z,2026-08-14T13:48:10.348374Z,2026-08-14T13:48:15.595888Z,2026-08-14T13:48:21.056675Z,Released,500000,500000,21000,0,HGYRHLJALD4ZW4DHB23URSH7X4PXU6BSWXHXWBWFDF2BZSOGO2NA,66305052,,Invariants hold
70,T-REX,2026-08-14T13:48:21.562571Z,2026-08-14T13:48:26.542994Z,,2026-08-14T13:48:22.302768Z,2026-08-14T13:48:26.542994Z,2026-08-14T13:48:45.447074Z,Refunded (TIMEOUT),500000,500000,21000,0,RIUF64XIQ3QAFE5YV2NF2YQZMHO5PO3YDDOEMRREK43W2J2YMNLQ,66305056,,Invariants hold
71,T-REX,2026-08-14T13:48:46.936810Z,2026-08-14T13:48:53.563317Z,,2026-08-14T13:48:47.692228Z,2026-08-14T13:48:53.563317Z,2026-08-14T13:49:09.810155Z,Refunded (TIMEOUT),500000,500000,21000,0,QIGAZZHLNGICG2PN6FGFGVB3TXJJ5NXLGMBXTKIEMTA5SLJY4X7Q,66305066,,Invariants hold
19,T-REX,2026-08-14T13:49:42.298232Z,,,,,,Failed,500000,500000,0,0,,0,"TransactionPool.Remember: transaction CVXWL4CVFIJDPQW5OKDMKAQQMQ76O2WG3BPWR2CP3UCAKTBLTSCQ: logic eval error: assert failed pc=1490. Details: app=769248116, pc=1490, opcodes=callsub label21; ed25519verify_bare; assert",N/A
20,T-REX,2026-08-14T13:50:14.780254Z,,,,,,Failed,500000,500000,0,0,,0,"TransactionPool.Remember: transaction UWUARQ4O75WQPD6KDA2PS7XD5LMZIPFPVXYUG7KPOMPLPRSS4YYA: logic eval error: assert failed pc=1490. Details: app=769248116, pc=1490, opcodes=callsub label21; ed25519verify_bare; assert",N/A
